,BREAST_BT549,BREAST_HS578T,BREAST_MCF7,BREAST_MCF7ADRr,BREAST_MDAMB231,BREAST_MDAMB435,BREAST_MDN,BREAST_T47D,CNS_SF268,CNS_SF295,CNS_SF539,CNS_SNB19,CNS_SNB75,CNS_U251,COLON_COLO205,COLON_HCC2998,COLON_HCT116,COLON_HCT15,COLON_HT29,COLON_KM12,COLON_SW620,LEUK_CCRFCEM,LEUK_HL60,LEUK_K562,LEUK_MOLT4,LEUK_RPMI8266,LEUK_SR,MELAN_LOXIMVI,MELAN_M14,MELAN_MALME3M,MELAN_SKMEL2,MELAN_SKMEL28,MELAN_SKMEL5,MELAN_UACC257,MELAN_UACC62,NSCLC_A549,NSCLC_EKVX,NSCLC_H226,NSCLC_H23,NSCLC_H332M,NSCLC_H460,NSCLC_H522,NSCLC_HOP62,NSCLC_HOP92,OVAR_IGROV1,OVAR_OVCAR3,OVAR_OVCAR4,OVAR_OVCAR5,OVAR_OVCAR8,OVAR_SKOV3,PROSTATE_DU145,PROSTATE_PC3,RENAL_7860,RENAL_A498,RENAL_ACHN,RENAL_CAKI1,RENAL_RXF393,RENAL_SN12C,RENAL_TK10,RENAL_UO31
M91036_rna1_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.036723106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M11147_at,-0.365462231,0.37659086,-1.588900462,-0.520081273,-0.347927572,-2.559900591,-1.878915733,-3.449401049,0.282653025,0.530093295,0.084816653,1.057004803,0.498562379,0.227579696,-0.313106826,1.414185762,-0.274682424,-0.835369769,-0.682986641,-1.063111388,-0.939489254,-0.940072987,0.287896925,0.548935901,-1.416536416,0.008216239,0.327721671,0.874686147,-0.008216239,0.592977006,0.164087149,0.183242428,0.17410121,0.73467444,0.436955792,1.450714493,-0.109304832,-0.305189232,-0.057716943,-1.087477484,1.209139523,-0.260760932,0.279397224,0.248991567,-0.127472955,-2.427954073,-0.297688851,0.055248631,-1.302559661,-0.390773319,0.382205376,-0.918055526,-0.425908567,0.121923449,-0.242285489,0.083955599,0.047319294,0.195518487,0.328206529,-0.296940953
AFFX-HUMGAPDH/M33197_3_at,-0.220903792,-0.330759374,0.222042051,0.000525636,-0.332964656,0.513977425,-0.099172684,-0.344709262,0.46302704,0.043831303,-0.194799193,-0.140291991,-0.238159641,0.231027102,0.385073958,0.642552119,-0.277756894,-0.044662342,0.06207213,0.691977918,0.153439212,0.406382497,-0.700461524,-0.670313299,0.139350127,-0.330759374,0.547810614,0.088349031,-0.380299797,0.388424234,-0.089819079,0.21209343,-0.51502369,-0.057915658,0.230131111,0.350998843,0.638843534,0.086039927,0.238323609,0.952081009,0.609515758,-0.702741114,-0.000525636,-0.163652831,-0.283503419,0.324798808,-0.03314232,0.204966749,-0.189194933,0.179819764,0.116582073,-1.254996991,-0.049187454,-0.34671316,-0.09636023,-0.451590235,0.110427774,-0.264647161,-0.202641586,0.391900287
M12886_at,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.550285049,6.472812666,0,0,6.904243227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.847996907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X12876_s_at,-2.827538502,-0.232989952,3.715493319,3.051922221,-0.274177998,-1.209299846,-0.856684847,3.363273866,-0.028451196,-2.827538502,-2.827538502,-2.827538502,-2.827538502,-0.465770142,2.775345907,1.885057279,0.537033931,2.019957382,1.90364474,2.655309781,2.585243024,-2.827538502,-2.784894164,-0.706523101,-2.827538502,-1.827538502,-2.827538502,0.291817675,-1.443488695,-2.827538502,-0.546582188,-2.827538502,-2.8275385,-2.784894164,-2.664039769,3.296789633,2.47221901,3.921593471,-0.951758439,3.352370588,1.471852704,-2.827538502,1.828957869,-0.424270779,1.229045027,2.117319944,2.165229929,0.914467709,1.631237197,0.222092266,1.764021244,0.056082315,-0.440727555,-0.124880958,0.539832564,0.96219075,-1.416112256,2.534931387,0.028451196,2.012421086
X53331_at,2.114367025,0.310340121,0.298658316,0,0,1.550900665,1.510961919,6.745237332,0,0.604071324,0,0,0.070389328,2.241840184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23878686,0,5.148934105,0,0,0,0,0,0,0,0,0,0,0,0,0.150559677,0,0,0,0,0,0,0,0,0,0,0,0.084064265
X17206_at,-0.431126096,-0.211950775,-0.57618812,0.483942019,-0.72153368,0.092074562,0.214228956,-0.694525325,0.048557095,-0.006393843,-0.203618498,0.053489887,-0.262800697,0.318671071,-0.230523496,-0.521010152,0.371908726,0.217852194,0.004884906,0.257370079,0.300967581,-0.130717449,0.153633736,0.131850629,0.158893884,-0.079949521,0.464684161,-0.031368289,-0.106080497,0.322041574,-0.108023085,-0.151435466,-0.27748244,-0.037217268,-0.353219581,-0.009416461,-0.389184333,0.146047005,0.047393983,0.073482691,0.41752366,0.03966459,-0.188295261,-0.47077831,-0.192067911,0.766652189,-0.500664527,-0.210384803,0.313963281,-0.102203151,0.215524014,-0.020350623,0.300845572,0.008475562,0.165475717,-0.252378892,0.040833948,0.339489888,-0.004884906,0.13349582
X00351_f_at,0.576665924,1.593218074,-1.073253704,-0.11442395,-0.139449643,0.374955226,0.244005211,-0.037923871,-0.605734432,1.216983392,0.735822469,1.047715505,0.462660616,0.899566927,-0.056076182,-0.165345409,-0.873193215,-1.467280064,0.283768918,-0.316967794,-1.413380015,0.567931632,-0.271997035,-0.784331736,-0.386168055,-0.789604268,0.240776259,-0.031272791,-0.151278542,0.152808241,-0.939774436,-0.456232938,0.67396313,-0.712470797,-0.962668977,-0.009962285,0.989653048,0.504187748,0.48848258,0.526634281,0.003055753,-0.529875007,0.327649512,-0.666882276,-1.441115128,0.294709135,1.244327709,-1.888668395,-0.032444285,0.399487474,0.011038014,-0.221243734,-0.003055753,1.421044231,-0.697526908,0.587128603,0.897927966,0.365202257,0.415613574,0.719908959
Z19554_s_at,0.329878431,0.967466486,-5.374163524,-0.049712919,-0.299058802,0.511166792,0.90567917,-5.374163524,0.625385564,0.271711027,0.483319905,0.317091455,0.86672319,0.547320414,-5.374163524,-5.374163524,-5.374163524,-5.374163524,-0.652244078,-4.141502767,-1.780809753,-0.487613376,-4.210664791,-1.305492713,-1.44626707,-4.018019714,-0.524164264,0.86576909,0.885485597,1.321691134,0.958723393,0.457207064,0.59323567,0.358105676,1.258250117,-0.416248925,-0.761811025,0.004348099,-0.218738092,-5.374163524,-1.223603847,-0.525165093,0.11190722,0.550886441,-0.226449801,-5.374163524,-2.806131419,-0.587044541,-0.251490805,0.166235782,-0.004348099,-0.236250202,0.558936951,0.543268232,0.13648198,0.747473595,0.780452088,0.027057338,0.995826339,0.532967501
Z12962_at,-0.073770581,-0.218706217,-0.259473823,-0.177990086,0.219732638,0.329037745,-0.558686258,0.223088955,0.104100919,0.132935894,-0.043695779,-0.505041041,-0.86509657,-0.212908163,0.25215669,0.27920556,-0.014235143,0.457814287,0.091618708,0.290943855,-0.141216175,0.087179838,-0.080175295,0.208332473,0.337071484,0.336644145,0.397323269,-0.494737395,-0.812014846,0.019170175,-0.68445204,-0.359967396,-1.25882789,-0.154971896,0.119708573,-0.270661961,0.166505427,-0.318993537,-0.185949803,0.221816788,0.236436684,-0.133942941,-0.579908632,0.024619078,-1.037450637,0.228396805,0.445976723,0.014235143,0.16458055,-0.148975026,-0.195343485,0.436236804,-0.419178602,0.284643626,0.434041225,-1.016280649,-0.42080336,0.192479167,-0.850668277,0.28420047
D23660_at,-0.439723818,-0.617552049,0.166222415,0.919478713,-0.343416052,-0.482998823,0.413517958,0.281536662,-0.302122591,-0.964002463,-0.444029302,0.244559387,-0.745442686,0.135292742,0.527484188,-0.138507555,0.055445299,0.275220982,-0.177704826,0.303533335,0.692166988,-0.025313402,0.100239881,0.505697491,-0.378696504,1.238639141,-0.230648122,0.117629336,0.37879607,-0.14316705,0.399168614,-0.069531126,0.44761747,0.788746129,-0.182193148,0.222769729,-0.244975522,0.000264133,-0.361966449,0.656416378,0.543701582,-0.123467294,-0.621610265,-0.90049952,0.021497968,0.188876287,-0.56933154,-0.000264133,0.058745791,-0.309959795,0.409745166,-0.071472656,-0.041260919,-0.368430604,0.220957867,0.087618229,-0.370136523,-0.056562374,0.277401927,-0.013000902
HG3214-HT3391_at,-0.012902191,-0.233413575,0.539660676,-0.909527007,-0.011701246,0.314015277,-0.110825397,0.559995554,-0.444696667,-0.41613387,-0.410741797,-0.296068452,-0.006668166,-0.16693582,0.299962629,-0.192833808,-0.154689211,-0.094714304,0.059956566,0.459836671,0.147271576,0.086441239,0.298414258,0.33512409,-0.012661922,0.527320734,0.259552757,-0.185773739,0.006668166,0.045953051,-0.352418081,-0.036644812,0.09716764,0.072693669,-0.183608343,0.178330498,0.145334928,-0.537395567,0.469156662,0.128222962,0.416778443,0.428858709,0.11991903,0.418204913,0.082173239,-0.039823902,0.360016507,1.095162509,-0.805138331,-0.559336796,0.233658822,0.021056317,-0.33639301,-0.622462532,-0.308991703,0.142748679,-0.486126035,-0.159734998,-0.214500009,-0.789411724
M17885_at,-0.375723335,-0.301108504,0.509457562,-0.545511204,-0.158952769,-0.850874046,-0.081755407,0.259338027,0.001352897,-0.704249132,-0.674794221,0.142400091,-0.365229371,0.091883455,0.445823934,-0.078001878,0.393227754,-0.02146641,0.147447426,0.459293882,0.636294641,0.05410389,-0.012227107,0.753478181,-0.174327995,0.448180976,-0.096687106,0.181398309,-0.001352897,0.251119942,0.13671988,0.144849489,-0.24091523,0.412795657,0.245995416,0.12436135,-0.278574012,-0.378358796,-0.050945579,-0.46417391,0.268071416,0.075285895,-0.514983298,-0.073190217,0.069495807,-0.367845714,-0.720319264,0.110486927,0.329922454,-0.147106526,0.24142495,0.521760054,-0.084442491,-0.02146641,0.752675457,-0.240515587,-0.213792749,-0.229172178,0.104050168,0.244854156
X74929_s_at,-2.753580175,-2.753580175,3.571230429,2.509454231,-0.217527274,-2.753580175,-2.753580175,3.810950426,-2.753580175,-2.753580175,-2.753580175,-2.753580175,-2.753580175,-0.168617674,3.281383815,2.096919239,1.429112123,2.216813363,1.621459257,3.048095855,2.817793261,-2.753580175,-2.753580175,-0.764441167,-2.753580175,-2.753580175,-2.753580175,-2.753580175,-2.753580175,-2.753580175,-2.299404281,-2.753580175,-2.75358018,-2.753580175,-2.753580175,2.948800327,2.315950151,3.377144817,-2.753580175,3.294961191,1.630469632,-2.753580175,1.181879573,-1.140048522,0.316809153,2.442948186,2.121708424,1.16289647,1.208043154,0.619371923,1.557486928,-1.41444279,0.696641321,1.517696085,1.224615455,0.482146885,-2.753580175,1.653092541,0.168617674,1.958465274
L19686_rna1_at,0.505069324,0.18125579,0.538236188,-0.027256449,-0.693771322,0.284580114,0.757570539,0.045090574,-0.379565674,-1.332752361,-0.037843789,-5.385863698,-0.053513797,-5.385863698,0.027256449,-0.248770089,0.129836141,0.237652044,-0.386765664,0.370892754,0.5439273,-0.066462531,-0.186976707,-0.755341734,-0.732230386,-0.06610127,-0.077706723,-0.851055037,0.630276005,0.169952457,0.979758858,1.113503869,0.58567986,0.747329901,0.55030308,-0.296280805,0.82046695,-1.321498157,-0.07697864,0.325906506,0.262889335,-0.234086043,-0.611340168,0.111109883,0.4386496,-0.152052313,0.599636733,-0.476090594,0.092461014,-0.27985046,0.053426983,0.86755836,-0.884424553,-0.907538986,-0.183837853,0.269201853,0.122881856,-0.51895572,0.187329026,-0.440068741
hum_alu_at,-0.140030446,0.130564849,0.126410041,0.04859788,0.357395613,0.261363659,-0.248203048,0.448509453,0.140415125,0.253765217,-0.000133583,-0.209536851,-0.798830844,-0.11290803,0.126410041,0.335754256,0.000534239,0.299418349,0.000133583,-0.409704049,-0.269299663,0.25096158,-0.095105616,0.133490467,0.171586415,-0.024655139,0.233001785,-0.171879969,-0.535912639,0.22044462,-0.283049734,-0.066427356,-0.85426216,0.279636379,-0.157952354,0.078508638,0.466119531,-0.309624288,0.029485612,0.208817811,-0.278667845,0.041865981,-0.333664197,0.074962064,-0.49542668,0.071152463,0.085449843,-0.015174382,-0.27737206,0.187627009,0.075088877,-0.297424531,-0.259831968,0.2241089,-0.001737617,-0.767339237,-0.204602447,-0.133275143,-0.521843095,-0.024655139
U14970_at,0.049958355,-0.319757492,0.264130085,-0.420486799,-0.127442135,-0.567575115,-0.148107771,-0.065443263,-0.183933334,-0.720893371,-1.150972587,-0.253322804,-0.154888346,-0.197869935,0.016923348,-0.304598706,0.097915068,-0.019501379,-0.42142984,0.246425669,0.738116016,0.316353092,0.437808406,0.924200652,-0.21821093,0.481682417,0.08822956,-0.001056576,0.045415146,-0.278732962,0.484370252,0.062603752,0.21136574,-0.03722101,0.361461288,0.236694466,-0.053454377,0.190325004,-0.673313045,-1.153581912,0.001056576,-0.356260825,-0.57560077,-0.227802441,0.205879818,0.082032026,0.294312281,0.242858564,-0.349364421,-0.44361096,-0.081502197,0.834749023,0.022713126,-0.042047696,0.262173622,0.178547836,0.084026995,-0.572804171,0.242660133,0.012972984
U43901_rna1_s_at,0.094966592,-0.162368054,0.243649074,0.041034061,-0.647427362,-0.549068078,-0.29251281,-0.243363786,0.479985586,-0.668153968,-0.841017678,0.307219328,-0.395212605,0.216042586,-0.01689086,-0.496821338,0.030277024,-0.168682979,0.046496235,0.099571992,0.235302881,0.088141162,0.366651391,0.618757735,-0.117393266,0.024752978,-0.137639252,0.307788027,-0.066635567,-0.381700675,0.06253513,-0.606489389,-0.02785111,-0.219949605,0.189749896,0.053747113,-0.39367077,0.234106617,-0.434303949,-0.634987105,0.01689086,-0.069833085,0.030736408,-0.614369073,-0.300580628,-0.202837518,-0.486595265,0.360268984,0.098257663,-1.065653139,0.141435958,0.35825724,0.159192429,-0.490545151,0.145895606,-0.260404239,-0.537103947,0.104162737,0.083056185,0.941449525
AFFX-HUMGAPDH/M33197_5_at,-0.360453705,-0.280426847,0.061452405,-0.037729494,-1.720371771,0.220965177,0.454465503,-0.994863662,-0.042512794,-0.352182297,-0.697139464,-0.429085529,0.265507121,0.741998916,0.105358601,-0.190086362,-0.401512878,-1.409729483,-0.084098124,0.317037422,0.125873459,0.322007952,-0.409386189,-0.62322269,0.092811249,-0.856938783,0.418176582,0.294455647,0.125636583,0.309340811,0.393794621,0.249942984,0.43490646,-0.113155015,0.305163322,0.245153589,0.18822112,0.051261907,0.039239379,0.716273408,0.438152974,-0.566241122,0.669591557,-1.406300209,-3.489487888,-0.07781067,-0.435362674,-1.083002683,-0.238660484,0.162126924,0.070341192,-0.49712795,-0.455068084,-0.55670576,-0.456840654,0.306417839,-0.22772402,-0.472892564,0.323041328,0.037729494
X01677_f_at,-0.41832249,-0.008982096,-0.064850353,0.058849792,-1.028136586,0.471570803,0.008982096,-0.987451753,-0.258682671,0.274301104,-0.430248803,0.067898336,-0.479228696,0.188459543,0.359600936,0.012735695,-0.029101019,-0.297664406,0.140716783,0.185802034,0.164701301,0.294177101,-0.294645972,-0.793729181,0.209545208,-0.488219127,0.039109073,0.086361356,-0.425161721,0.232582097,-0.201899026,0.090452092,-0.67999293,-0.414284859,0.289233715,0.207908943,0.540667251,0.045352926,0.395695663,0.605611246,0.376305087,-0.810213535,0.151482576,-0.494865665,-0.818193432,0.261422618,0.130388413,-1.328913644,-0.075969445,-0.114551338,0.168912568,-0.255518865,-0.282865033,0.292479722,-0.119884024,-0.566708012,0.012173277,-0.197121886,-0.187830176,-0.116600039
U14969_at,-0.037754621,-0.423377936,0.450494565,-1.037754621,0.143980441,0.03746966,0.287684903,-0.194089086,-0.450283085,-1.007930405,-0.803571907,0.214725546,-1.288785255,-0.554212438,0.09872122,-0.181896734,-0.382143722,0.011008484,-1.689203649,0.174377152,0.351630068,-0.261403198,-0.393747766,0.180056529,0.166497265,0.090415856,0.268265413,-0.312134,0.128398627,0.09012861,-0.275769487,0.356176254,0.48258282,0.176272763,0.427714102,0.544065437,-0.275029264,-0.011008484,-0.082060458,-0.801438531,-0.139174939,0.047860554,-0.472174413,0.777649578,0.209710225,0.261903752,1.070314833,-0.106873204,-0.683790153,0.049634359,-0.615671551,0.308081966,-0.31327342,0.038660986,-0.158499306,0.13063493,0.328925207,-0.360389169,-0.437388795,-0.467093004
M77349_at,1.107889602,2.598287572,-2.234096145,2.241637286,-2.234096145,0.712634715,-0.016865429,-2.234096145,-0.201995302,3.879646021,4.180884998,0.876935168,3.566544952,3.609134006,0.90176702,-2.15003188,-2.234096145,-2.234096145,1.608882687,-1.136485348,-0.402218904,-2.234096145,-2.234096145,-2.234096145,-2.234096145,-2.234096145,-2.234096145,0.093591219,1.469669034,-1.668498969,0.707010166,-2.234096145,-2.23409615,-2.234096145,-2.234096145,2.122047665,1.089273924,0.605863443,-2.234096145,0.016865429,2.733072463,-2.234096145,2.227301445,2.848265825,-2.234096145,-2.234096145,-2.234096145,3.801087852,1.875264415,-0.252243492,-0.447499783,-2.234096145,2.54568886,2.468561399,0.296973348,3.113923764,2.684767092,-1.855584522,1.143027604,0.866881503
D00017_at,0.047991522,-0.016189468,-2.342006231,0.148764817,0.230899798,-0.853661921,-0.908830512,-0.527161096,0.490986251,-0.911717346,-0.169703576,0.934633084,-0.12924158,0.904383391,0.381462422,-0.274029438,-0.308330593,-0.539945609,0.244253657,0.277899375,-0.671987961,-3.735784611,-5.231479774,-2.028278618,-5.231479774,-3.651334289,-1.373498779,-0.676890922,0.044644631,-0.051968724,0.305505602,-0.564723182,-1.14826641,-1.107151639,-0.889494027,0.919079903,0.642825392,0.873066565,-0.444883412,0.194449431,-0.31691525,-0.175329813,0.116894301,0.188733117,0.191425969,0.584863931,0.023643241,1.174852804,0.520198172,-0.37798307,0.366944987,0.679972138,0.00921617,-0.252369019,-0.00921617,0.287999228,0.176552692,0.46618286,0.182994063,0.209140274
AFFX-HSAC07/X00351_M_at,0.467402708,1.047359188,-0.359165601,-0.371901992,-0.281916786,0.077893557,0.105425598,0.838532526,-0.071258857,0.815704881,0.593644575,0.651633523,0.020886977,0.786791456,-0.394779285,-0.102416862,-1.358756616,-1.73294011,0.039933763,-0.282304555,-0.66512743,0.523498247,-0.458204665,-0.397717137,-0.550934424,-1.01539714,-0.090483833,-0.679867088,-0.020886977,-0.124843519,-0.545338961,-0.251607758,0.5347685,-0.425715038,-0.686010582,0.121930563,0.653459334,0.170625243,0.309364568,0.214435421,-0.069249999,0.304466644,0.305241106,-0.423147203,-2.151869615,-0.07999638,0.620650756,-0.103444301,0.222930753,0.793982359,-0.244412257,-0.387669308,0.054132417,0.776775276,-0.221550524,0.447195589,0.659124904,0.053517981,0.153524746,0.291497345
